NIT;FECHA_CORTE;EMPRESA;CIIU;TIPO_EMPRESA;TIPO EMPRESA_NOMBRE;CIUDAD;PERIODO;INGRESOS;COSTOS;GANANCIA_BRUTA;OTROS_ING;GASTOS;GASTOS_ADMON;OTROS_GASTOS;OTRAS_GANANCIAS;EBIT;ING_FIN;COSTOS_FIN;EBIT_SINIMPTO;IMPUESTO;UTILIDAD;UTILIDAD_CALCULADA
800081507;31/12/2023;RITCHI SAS;C1410 - Confección de prendas de vestir, excepto prendas de piel;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Anterior;$ 17.635.499;$ 11.661.324;$ 5.974.175;$ 392.139;$ 3.359.119;$ 1.516.689;$ 465.915;$ 434.382;$ 1.458.973;$ 214.252;$ 1.198.936;$ 474.289;$ 245.977;$ 228.312;$ 228.312
800083422;31/12/2023;COMPAÑIA COLOMBIANA DE CONSULTORIA INTERVENTORIA Y CONSTRUCCION LTDA;N7730 - Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles n.c.p.;3; SOCIEDAD LIMITADA;BOGOTA D.C.;Periodo Actual;$ 3.265.395;$ 1.039.932;$ 2.225.463;$ 4.460;$ 1.667.811;$ 0;$ 152.995;$ 69.170;$ 478.287;$ 3;$ 141.540;$ 336.750;$ 168.729;$ 168.021;$ 168.021
800083422;31/12/2023;COMPAÑIA COLOMBIANA DE CONSULTORIA INTERVENTORIA Y CONSTRUCCION LTDA;N7730 - Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles n.c.p.;3; SOCIEDAD LIMITADA;BOGOTA D.C.;Periodo Anterior;$ 2.881.140;$ 763.352;$ 2.117.788;$ 26.758;$ 1.483.104;$ 0;$ 101.345;$ 30.855;$ 590.952;$ 7;$ 154.698;$ 436.261;$ 206.834;$ 229.427;$ 229.427
800093388;31/12/2023;CONSERJES INMOBILIARIOS LTDA;N8121 - Limpieza general interior de edificios;3; SOCIEDAD LIMITADA;BOGOTA D.C.;Periodo Actual;$ 38.477.896;$ 32.096.704;$ 6.381.192;$ 237.328;$ 120.016;$ 768.159;$ 616.665;$ 0;$ 5.113.680;$ 33.649;$ 155.744;$ 4.991.585;$ 2.060.219;$ 2.931.366;$ 2.931.366
800095036;31/12/2023;DLK SAS;I5611 - Expendio a la mesa de comidas preparadas;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Actual;$ 143.371.902;$ 52.696.638;$ 90.675.264;$ 703.120;$ 82.320.680;$ 3.121.586;$ 73.871;$ 0;$ 5.862.247;$ 248.211;$ 2.888.555;$ 3.221.903;$ 1.312.472;$ 1.909.431;$ 1.909.431
800105560;31/12/2023;SANTOSCIA SAS;L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Actual;$ 702.721;$ 0;$ 702.721;$ 15.471;$ 12.266;$ 1.719.847;$ 172.347;$ 25.000;-$ 1.161.268;$ 351.140;$ 1.321.627;-$ 2.131.755;$ 2.500;-$ 2.134.255;-$ 2.134.255
800105560;31/12/2023;SANTOSCIA SAS;L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Anterior;$ 2.825.124;$ 0;$ 2.825.124;$ 27.881;$ 7.000;$ 1.277.203;$ 25.175;$ 23.000;$ 1.566.627;$ 943.051;$ 263.727;$ 2.245.951;$ 4.000;$ 2.241.951;$ 2.241.951
800122084;31/12/2023;AMBIENTES ACCESORIOS SOCIEDAD POR ACCIONES SIMPLIFICADA;G4644 - Comercio al por mayor de aparatos y equipo de uso doméstico;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Actual;$ 9.981.105;$ 5.621.242;$ 4.359.863;$ 228.467;$ 2.114.292;$ 1.394.108;$ 84.559;$ 19.148;$ 1.014.519;$ 495.312;$ 621.463;$ 888.368;$ 494.943;$ 393.425;$ 393.425
800147361;31/12/2023;M G U2 S A S;M7020 - Actividades de consultoría de gestión;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Actual;$ 1.275.457;$ 452.029;$ 823.428;$ 186;$ 12.654;$ 414.947;$ 1.776;$ 48.000;$ 442.237;$ 34.917;$ 8.722;$ 468.432;$ 157.204;$ 311.228;$ 311.228
800152665;31/12/2023;DICSON SA;G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.;1; SOCIEDAD ANÓNIMA;BOGOTA D.C.;Periodo Actual;$ 5.877.276;$ 2.721.411;$ 3.155.865;$ 26.479;$ 136.752;$ 1.559.334;$ 40.824;-$ 27.253;$ 1.418.181;$ 86.631;$ 681.950;$ 822.862;$ 288.002;$ 534.860;$ 534.860
800154744;31/12/2023;Comercializadora Induval SAS;L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Actual;$ 1.417.787;$ 0;$ 1.417.787;$ 3.011.464;$ 0;$ 1.937.115;$ 59.764;$ 0;$ 2.432.372;$ 2.624.043;$ 1.188.077;$ 3.868.338;$ 428.567;$ 3.439.771;$ 3.439.771
800155019;31/12/2023;DISEÑOS D COMO LTDA EN REORGANIZACION;C1410 - Confección de prendas de vestir, excepto prendas de piel;3; SOCIEDAD LIMITADA;BOGOTA D.C.;Periodo Actual;$ 464.716;$ 247.729;$ 216.987;$ 27.580;$ 85.820;$ 99.564;$ 15.906;$ 0;$ 43.277;$ 4.116;$ 3.633;$ 43.760;$ 10.879;$ 32.881;$ 32.881
800164764;31/12/2023;LUBRILLANTA EL DORADO SA;G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores;1; SOCIEDAD ANÓNIMA;BOGOTA D.C.;Periodo Actual;$ 14.903.994;$ 11.753.249;$ 3.150.745;$ 208.373;$ 1.286.412;$ 679.718;0;$ 0;$ 1.392.988;$ 63.729;$ 39.241;$ 1.417.476;$ 462.165;$ 955.311;$ 955.311
800165388;31/12/2023;CONSTRUCCIONES CHICAMOCHA LTDA;F4111 - Construcción de edificios residenciales;3; SOCIEDAD LIMITADA;BOGOTA D.C.;Periodo Actual;$ 27.000;$ 0;$ 27.000;$ 59.622;$ 2.868;$ 406.169;$ 16.071;$ 0;-$ 338.486;$ 16.118;$ 4.634;-$ 327.002;$ 7.167;-$ 334.169;-$ 334.169
800167988;31/12/2023;MULTICARTON SAS;"C1702 - Fabricación de papel y cartón ondulado (corrugado); fabricación de envases, empaques y de embalajes de papel y cartón";8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Actual;$ 10.922.941;$ 8.387.147;$ 2.535.794;$ 129.606;$ 198.813;$ 1.167.008;$ 39.767;-$ 25.501;$ 1.234.311;$ 5.038;$ 222.090;$ 1.017.259;$ 455.176;$ 562.083;$ 562.083
800167988;31/12/2023;MULTICARTON SAS;"C1702 - Fabricación de papel y cartón ondulado (corrugado); fabricación de envases, empaques y de embalajes de papel y cartón";8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Anterior;$ 12.208.666;$ 9.495.247;$ 2.713.419;$ 81.277;$ 235.942;$ 1.206.500;$ 106.105;-$ 36.535;$ 1.209.614;$ 1.504;$ 103.443;$ 1.107.675;$ 271.873;$ 835.802;$ 835.802
800179308;31/12/2023;YAMAKI SAS;G4644 - Comercio al por mayor de aparatos y equipo de uso doméstico;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Anterior;$ 43.851.919;$ 29.173.600;$ 14.678.319;$ 64.238;$ 4.449.735;$ 1.932.761;$ 82.817;$ 15.571;$ 8.292.815;$ 1.050.779;$ 2.012.492;$ 7.331.102;$ 2.684.657;$ 4.646.445;$ 4.646.445
800180176;31/12/2023;CEMTRO DE DIAGNOSTICO Y TRATAMIENTO CENDIATRA SOCIEDAD POR ACCIONES SIMPLIFICADA;Q8621 - Actividades de la práctica médica, sin internación;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Actual;$ 42.831.120;$ 12.951.189;$ 29.879.931;$ 0;$ 0;$ 26.305.482;$ 509.467;$ 792.663;$ 3.857.645;$ 116;$ 1.164.052;$ 2.693.709;$ 1.173.204;$ 1.520.505;$ 1.520.505
800182498;31/12/2023;INDUSTRIAS KATORI SAS;C2021 - Fabricación de plaguicidas y otros productos químicos de uso agropecuario;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Actual;$ 10.476.155;$ 6.819.705;$ 3.656.450;$ 126.130;$ 2.708.639;$ 1.798.830;$ 1.142;$ 3.000;-$ 723.031;$ 142.412;$ 588.053;-$ 1.168.672;-$ 403.457;-$ 765.215;-$ 765.215
800186960;31/12/2023;ALTIPALS.A.S;G4690 - Comercio al por mayor no especializado;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Actual;$ 1.358.805.716;$ 1.130.864.109;$ 227.941.607;$ 683.869;$ 175.096.105;$ 33.663.491;0;$ 1.625.354;$ 21.491.234;$ 5.494.884;$ 41.343.937;-$ 14.357.819;-$ 5.182.581;-$ 9.175.238;-$ 9.175.238
800186960;31/12/2023;ALTIPALS.A.S;G4690 - Comercio al por mayor no especializado;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Anterior;$ 1.552.391.070;$ 1.288.674.739;$ 263.716.331;$ 41.420;$ 176.744.654;$ 27.477.049;0;$ 3.259.910;$ 62.795.958;$ 6.644.084;$ 25.640.629;$ 43.799.413;$ 16.691.807;$ 27.107.606;$ 27.107.606
800191268;31/12/2023;BAUER & CO SAS;G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados;1; SOCIEDAD ANÓNIMA;BOGOTA D.C.;Periodo Actual;$ 104.990.097;$ 81.470.043;$ 23.520.054;$ 2.347;$ 8.895.074;$ 2.479.425;$ 275.493;$ 0;$ 11.872.409;$ 2.463.340;$ 2.532.955;$ 11.802.794;$ 4.224.760;$ 7.578.034;$ 7.578.034
800191268;31/12/2023;BAUER & CO SAS;G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados;1; SOCIEDAD ANÓNIMA;BOGOTA D.C.;Periodo Anterior;$ 99.249.513;$ 64.731.501;$ 34.518.012;$ 36.453;$ 7.228.016;$ 1.769.544;$ 82.339;$ 0;$ 25.474.566;$ 1.175.637;$ 3.493.245;$ 23.156.958;$ 8.090.836;$ 15.066.122;$ 15.066.122
800195170;31/12/2023;COMPAÑIA PRODUCTORA DE ENVASES PLASTICOS SA;C2229 - Fabricación de artículos de plástico n.c.p.;1; SOCIEDAD ANÓNIMA;BOGOTA D.C.;Periodo Actual;$ 38.694.666;$ 31.319.909;$ 7.374.757;$ 0;$ 3.048.664;$ 1.261.009;$ 0;$ 1.906.198;$ 4.971.282;$ 0;$ 2.755.298;$ 2.215.984;$ 1.414.747;$ 801.237;$ 801.237
800195170;31/12/2023;COMPAÑIA PRODUCTORA DE ENVASES PLASTICOS SA;C2229 - Fabricación de artículos de plástico n.c.p.;1; SOCIEDAD ANÓNIMA;BOGOTA D.C.;Periodo Anterior;$ 42.491.002;$ 36.293.778;$ 6.197.224;$ 0;$ 2.532.811;$ 1.108.039;$ 0;$ 3.289.004;$ 5.845.378;$ 0;$ 4.523.629;$ 1.321.749;$ 537.406;$ 784.343;$ 784.343
800210409;31/12/2023;PROMOTORA Y OPERADORA DE HOTELES PROMOTEL SA;I5511 - Alojamiento en hoteles;1; SOCIEDAD ANÓNIMA;BOGOTA D.C.;Periodo Anterior;$ 19.397.296;$ 1.970.004;$ 17.427.292;$ 250.686;$ 4.557.588;$ 7.897.605;$ 315.785;$ 0;$ 4.907.000;$ 110.141;$ 1.347.641;$ 3.669.500;$ 1.494.605;$ 2.174.895;$ 2.174.895
800214805;31/12/2023;INVERSIONES UCARO SAS;G4669 - Comercio al por mayor de otros productos n.c.p.;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Actual;$ 2.463.745;$ 1.659.931;$ 803.814;$ 0;$ 27.575;$ 330.021;$ 56.343;$ 16.857;$ 406.732;$ 19.467;$ 126.339;$ 299.860;$ 142.246;$ 157.614;$ 157.614
800218042;31/12/2023;QUALITY FLOWERS SAS;A0125 - Cultivo de flor de corte;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Actual;$ 10.170.204;$ 8.863.499;$ 1.306.705;$ 59.779;$ 58.918;$ 904.232;$ 2.983;-$ 580.668;-$ 180.317;$ 286.217;$ 9.712;$ 96.188;$ 115.546;-$ 19.358;-$ 19.358
800218042;31/12/2023;QUALITY FLOWERS SAS;A0125 - Cultivo de flor de corte;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Anterior;$ 9.740.965;$ 7.621.568;$ 2.119.397;$ 30.182;$ 54.291;$ 940.078;$ 2.480;$ 282.314;$ 1.435.044;$ 673;$ 15.101;$ 1.420.616;$ 511.591;$ 909.025;$ 909.025
800219705;31/12/2023;ROCA + SAS;M7112 - Actividades de ingeniería y otras actividades conexas de consultoría técnica;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Actual;$ 358.090;$ 149.964;$ 208.126;$ 182;$ 0;$ 0;$ 4.445;$ 0;$ 203.863;$ 0;$ 0;$ 203.863;$ 71.352;$ 132.511;$ 132.511
800220495;31/12/2023;SOCIEDAD DE COMERCIALIZACION INTERNACIONAL THE BEST EMERALDS S. A.;G4669 - Comercio al por mayor de otros productos n.c.p.;1; SOCIEDAD ANÓNIMA;BOGOTA D.C.;Periodo Actual;$ 32.868.594;$ 29.319.554;$ 3.549.040;$ 83.135;$ 992.478;$ 823.115;$ 108.614;-$ 1.628.000;$ 79.968;$ 1.770;0;$ 81.738;$ 151.163;-$ 69.425;-$ 69.425
800220495;31/12/2023;SOCIEDAD DE COMERCIALIZACION INTERNACIONAL THE BEST EMERALDS S. A.;G4669 - Comercio al por mayor de otros productos n.c.p.;1; SOCIEDAD ANÓNIMA;BOGOTA D.C.;Periodo Anterior;$ 16.608.581;$ 14.841.559;$ 1.767.022;$ 28.655;$ 487.788;$ 792.435;$ 114.804;$ 571.134;$ 971.784;$ 2.321;0;$ 974.105;$ 348.126;$ 625.979;$ 625.979
800240450;31/12/2023;PHILIPPI PRIETOCARRIZOSA FERRERO DU & URIA SAS;M6910 - Actividades jurídicas;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Actual;$ 116.041.403;$ 40.374.814;$ 75.666.589;$ 5.512.918;$ 5.307.334;$ 36.582.870;$ 14.269.341;$ 0;$ 25.019.962;$ 9.570.948;$ 9.946.162;$ 24.644.748;$ 8.937.367;$ 15.707.381;$ 15.707.381
800247607;31/12/2023;DINAMICA GRAFICA LTDA;C1811 - Actividades de impresión;7; EMPRESA UNIPERSONAL;BOGOTA D.C.;Periodo Actual;$ 7.148.801;$ 5.310.907;$ 1.837.894;$ 444.004;$ 99.121;$ 1.109.596;$ 24.536;$ 0;$ 1.048.645;$ 229.087;$ 4.571;$ 1.273.161;$ 469.503;$ 803.658;$ 803.658
800249396;31/12/2023;CLEAN AIR PRODUCTS SAS;G4669 - Comercio al por mayor de otros productos n.c.p.;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Actual;$ 3.599.284;$ 1.981.352;$ 1.617.932;$ 14.472;$ 669.852;$ 498.268;$ 17.856;$ 0;$ 446.428;$ 59.437;$ 94.404;$ 411.461;$ 131.574;$ 279.887;$ 279.887
800249813;31/12/2023;PNSLL SAS;N7730 - Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles n.c.p.;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Actual;$ 6.235.277;$ 1.388.507;$ 4.846.770;$ 8.438;$ 63.995;$ 461.365;$ 145.532;-$ 32.743;$ 4.151.573;$ 1.055.977;$ 674.310;$ 4.533.240;$ 1.638.380;$ 2.894.860;$ 2.894.860
800249813;31/12/2023;PNSLL SAS;N7730 - Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles n.c.p.;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Anterior;$ 6.197.381;$ 1.142.939;$ 5.054.442;$ 5.654;$ 0;$ 424.889;$ 57.267;$ 55.012;$ 4.632.952;$ 185.409;$ 46.329;$ 4.772.032;$ 1.672.991;$ 3.099.041;$ 3.099.041
800250953;31/12/2023;INVERSIONES JISCA LTD;L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados;3; SOCIEDAD LIMITADA;BOGOTA D.C.;Periodo Actual;$ 487.345;$ 0;$ 487.345;$ 0;$ 0;$ 395.290;$ 54.720;$ 0;$ 37.335;$ 0;$ 0;$ 37.335;$ 22.002;$ 15.333;$ 15.333
800251087;31/12/2023;BI SAS;N8020 - Actividades de servicios de sistemas de seguridad;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Actual;$ 8.651.864;$ 5.959.923;$ 2.691.941;$ 293.752;$ 382.456;$ 2.089.992;$ 171.018;$ 0;$ 342.227;$ 21.261;$ 363.263;$ 225;$ 391.737;-$ 391.512;-$ 391.512
800251957;31/12/2023;AGENCIA DE ADUANAS SIACO SAS NIVEL 1;H5229 - Otras actividades complementarias al transporte;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Actual;$ 40.700.519;$ 28.504.062;$ 12.196.457;$ 693.952;$ 1.521.936;$ 8.206.110;$ 532.020;$ 0;$ 2.630.343;$ 424.483;$ 1.403.609;$ 1.651.217;$ 505.066;$ 1.146.151;$ 1.146.151
816007300;31/12/2023;CONSTRUCCIONES EL CAIRO S A S;B0811 - Extracción de piedra, arena, arcillas comunes, yeso y anhidrita;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Actual;$ 5.884.071;$ 6.606.469;-$ 722.398;$ 20.456;$ 248.132;$ 1.469.938;0;$ 0;-$ 2.420.012;$ 628;$ 3.859.316;-$ 6.278.700;0;-$ 6.278.700;-$ 6.278.700
816007300;31/12/2023;CONSTRUCCIONES EL CAIRO S A S;B0811 - Extracción de piedra, arena, arcillas comunes, yeso y anhidrita;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Anterior;$ 16.946.979;$ 12.872.934;$ 4.074.045;$ 5.395;$ 507.669;$ 2.255.210;0;$ 0;$ 1.316.561;$ 21;$ 672.539;$ 644.043;0;$ 644.043;$ 644.043
819006966;31/12/2023;MEDIA COMMERCER PARTNERS SAS;J6110 - Actividades de telecomunicaciones alámbricas;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Actual;$ 146.547.816;$ 96.584.282;$ 49.963.534;$ 11.008.244;$ 18.920.317;$ 20.712.891;$ 4.468.392;-$ 115.184;$ 16.754.994;$ 1.378.310;$ 12.955.012;$ 5.178.292;$ 3.720.209;$ 1.458.083;$ 1.458.083
830001242;31/12/2023;LABORATORIOS SFC LTDA;C2100 - Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico;3; SOCIEDAD LIMITADA;BOGOTA D.C.;Periodo Actual;$ 11.619.672;$ 6.660.968;$ 4.958.704;$ 0;$ 2.007.794;$ 887.986;$ 52.339;$ 0;$ 2.010.585;$ 58.502;$ 421.142;$ 1.647.945;$ 342.900;$ 1.305.045;$ 1.305.045
830002166;31/12/2023;WAS S A S;G4731 - Comercio al por menor de combustible para automotores;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Actual;$ 8.487.969;$ 7.642.317;$ 845.652;$ 22.029;$ 0;$ 821.191;$ 4.337;$ 0;$ 42.153;$ 26;$ 642;$ 41.537;$ 15.338;$ 26.199;$ 26.199
830006716;31/12/2023;SILVERAGRO SAS;"G4620 - Comercio al por mayor de materias primas agropecuarias; animales vivos";8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Anterior;$ 65.212.692;$ 51.590.603;$ 13.622.089;$ 575.226;$ 7.356.510;$ 3.228.722;$ 433.426;$ 0;$ 3.178.657;$ 23.753;$ 867.969;$ 2.334.441;$ 1.087.876;$ 1.246.565;$ 1.246.565
830011469;31/12/2023;PANAMERICAN INSTRUMENTS  LTDA;G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados;3; SOCIEDAD LIMITADA;BOGOTA D.C.;Periodo Actual;$ 12.614.435;$ 6.327.616;$ 6.286.819;$ 435.032;$ 2.656.152;$ 1.248.124;$ 17.253;$ 0;$ 2.800.322;$ 5.462;$ 184.339;$ 2.621.445;$ 925.082;$ 1.696.363;$ 1.696.363
830014072;31/12/2023;COMERCIALIZADORA DE MATERIAL CIENTIFICO E INDUSTRIAL SAS;G4773 - Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Actual;$ 15.436.322;$ 13.085.107;$ 2.351.215;$ 21.802;$ 70.421;$ 1.404.398;$ 1.896;$ 18.188;$ 914.490;$ 86.778;$ 211.373;$ 789.895;$ 288.085;$ 501.810;$ 501.810
830016372;31/12/2023;RAVAGO DE COLOMBIA SAS;G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Actual;$ 13.000.412;$ 0;$ 13.000.412;$ 79.616;$ 6.476.034;$ 5.840.341;$ 1.342;$ 0;$ 762.311;$ 736.343;$ 3.553.502;-$ 2.054.848;-$ 605.218;-$ 1.449.630;-$ 1.449.630
830018538;31/12/2023;COMERCIALIZADORA DE ALIMENTOS OROSOL S.A.;G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco;1; SOCIEDAD ANÓNIMA;BOGOTA D.C.;Periodo Anterior;$ 40.015.281;$ 37.255.942;$ 2.759.339;$ 20.604;$ 1.110.367;$ 1.392.736;$ 5.745;$ 32.858;$ 303.953;$ 114.161;$ 10.778;$ 407.336;$ 164.068;$ 243.268;$ 243.268
